id;parent_id;title;text
cat word explanation;cat introduction;CAT 검사도구 용어 설명;CAT 검사도구에서 사용되는 핵심 용어들의 정의 목록입니다. 아래 자식 노드에 각각의 용어가 연결됩니다.
missing_error;cat word explanation;누락오류;목표자극에 반응하지 않고 빠뜨린 오류 횟수입니다. 누락오류가 많을수록 외부 자극에 주의력이 쉽게 분산됨(부주의성)을 나타냅니다.
false_alarm_error;cat word explanation;오경보오류;비목표자극에 반응한 오류 횟수입니다. 오경보오류가 많을수록 반응을 억제하는 데 어려움이 있음(인지적 충동성)을 나타냅니다.
mean_reaction_time;cat word explanation;정반응시간 평균;목표자극에 반응하는 데 소요한 반응시간의 평균입니다. 과제 수행 시 얼마나 기민하게 목표자극에 반응하는지(정보처리속도)를 나타냅니다.
stddev_reaction_time;cat word explanation;정반응시간 표준편차;목표자극에 반응하는 시간이 얼마나 일정하게 유지되는지를 보는 지표로 주의력의 일관성을 나타냅니다.
aq_score;cat word explanation;AQ(attention quotient);주의력 지수로 수검자가 속해있는 해당 성별, 연령별 군에서 검사 결과값의 평균을 100, 표준편차를 15로 가정한 후 수검자의 검사 결과값을 이 기준에 맞게 환산하여 산출한 값입니다. AQ 85점 이상(<1SD)은 ‘정상’ 수준에, AQ 85점 미만, 75점 초과(1~1.6SD)는 ‘경계’ 수준에, AQ 75점 이하(≥1.6SD)는 ‘저하’ 수준에 해당합니다.
raw_score;cat word explanation;원점수(값);수검자가 반응한 그대로의 값입니다. 예를 들어 누락오류 원점수가 5이면, 수검자가 5개의 누락오류 반응을 한 것입니다.
memory_span;cat word explanation;공간폭;작업기억력의 크기를 보여주는 값입니다.
